Time, ProductionCenter, WorkersCount, BufferCount
27.0, Производственный  центр №4, 0, 12
27.0, Производственный  центр №5, 0, 0
28.0, Производственный  центр №1, 2, 474
28.0, Производственный  центр №2, 1, 4
28.0, Производственный  центр №3, 0, 7
28.0, Производственный  центр №4, 0, 12
28.0, Производственный  центр №5, 0, 0
29.0, Производственный  центр №1, 2, 472
29.0, Производственный  центр №2, 1, 5
29.0, Производственный  центр №3, 0, 7
29.0, Производственный  центр №4, 0, 13
29.0, Производственный  центр №5, 0, 0
30.0, Производственный  центр №1, 2, 472
30.0, Производственный  центр №2, 1, 5
30.0, Производственный  центр №3, 0, 7
30.0, Производственный  центр №4, 0, 13
30.0, Производственный  центр №5, 0, 0
31.0, Производственный  центр №1, 2, 470
31.0, Производственный  центр №2, 1, 5
31.0, Производственный  центр №3, 0, 8
31.0, Производственный  центр №4, 0, 14
31.0, Производственный  центр №5, 0, 0
32.0, Производственный  центр №1, 2, 470
32.0, Производственный  центр №2, 1, 5
32.0, Производственный  центр №3, 0, 8
32.0, Производственный  центр №4, 0, 14
32.0, Производственный  центр №5, 0, 0
33.0, Производственный  центр №1, 2, 468
33.0, Производственный  центр №2, 1, 6
33.0, Производственный  центр №3, 0, 8
33.0, Производственный  центр №4, 0, 15
33.0, Производственный  центр №5, 0, 0
34.0, Производственный  центр №1, 2, 468
34.0, Производственный  центр №2, 1, 5
34.0, Производственный  центр №3, 0, 9
34.0, Производственный  центр №4, 0, 15
34.0, Производственный  центр №5, 0, 0
35.0, Производственный  центр №1, 2, 468
35.0, Производственный  центр №2, 1, 5
35.0, Производственный  центр №3, 0, 9
35.0, Производственный  центр №4, 0, 15
35.0, Производственный  центр №5, 0, 0
36.0, Производственный  центр №1, 2, 466
36.0, Производственный  центр №2, 1, 6
36.0, Производственный  центр №3, 0, 9
36.0, Производственный  центр №4, 0, 16
36.0, Производственный  центр №5, 0, 0
37.0, Производственный  центр №1, 2, 466
37.0, Производственный  центр №2, 1, 6
37.0, Производственный  центр №3, 0, 9
37.0, Производственный  центр №4, 0, 16
37.0, Производственный  центр №5, 0, 0
38.0, Производственный  центр №1, 2, 464
38.0, Производственный  центр №2, 1, 6
38.0, Производственный  центр №3, 0, 10
38.0, Производственный  центр №4, 0, 17
38.0, Производственный  центр №5, 0, 0
39.0, Производственный  центр №1, 2, 464
39.0, Производственный  центр №2, 1, 6
39.0, Производственный  центр №3, 0, 10
39.0, Производственный  центр №4, 0, 17
39.0, Производственный  центр №5, 0, 0
40.0, Производственный  центр №1, 2, 462
40.0, Производственный  центр №2, 1, 7
40.0, Производственный  центр №3, 0, 10
40.0, Производственный  центр №4, 0, 18
40.0, Производственный  центр №5, 0, 0
41.0, Производственный  центр №1, 2, 462
41.0, Производственный  центр №2, 1, 6
41.0, Производственный  центр №3, 0, 11
41.0, Производственный  центр №4, 0, 18
41.0, Производственный  центр №5, 0, 0
42.0, Производственный  центр №1, 2, 460
42.0, Производственный  центр №2, 1, 7
42.0, Производственный  центр №3, 0, 11
42.0, Производственный  центр №4, 0, 19
42.0, Производственный  центр №5, 0, 0
43.0, Производственный  центр №1, 2, 460
43.0, Производственный  центр №2, 1, 7
43.0, Производственный  центр №3, 0, 11
43.0, Производственный  центр №4, 0, 19
43.0, Производственный  центр №5, 0, 0
44.0, Производственный  центр №1, 2, 460
44.0, Производственный  центр №2, 1, 7
44.0, Производственный  центр №3, 0, 11
44.0, Производственный  центр №4, 0, 19
44.0, Производственный  центр №5, 0, 0
45.0, Производственный  центр №1, 2, 458
45.0, Производственный  центр №2, 1, 7
45.0, Производственный  центр №3, 0, 12
45.0, Производственный  центр №4, 0, 20
45.0, Производственный  центр №5, 0, 0
46.0, Производственный  центр №1, 2, 458
46.0, Производственный  центр №2, 1, 7
46.0, Производственный  центр №3, 0, 12
46.0, Производственный  центр №4, 0, 20
46.0, Производственный  центр №5, 0, 0
47.0, Производственный  центр №1, 2, 456
47.0, Производственный  центр №2, 1, 8
47.0, Производственный  центр №3, 0, 12
47.0, Производственный  центр №4, 0, 21
47.0, Производственный  центр №5, 0, 0
48.0, Производственный  центр №1, 2, 456
48.0, Производственный  центр №2, 1, 7
48.0, Производственный  центр №3, 0, 13
48.0, Производственный  центр №4, 0, 21
48.0, Производственный  центр №5, 0, 0
49.0, Производственный  центр №1, 2, 454
49.0, Производственный  центр №2, 1, 8
49.0, Производственный  центр №3, 0, 13
49.0, Производственный  центр №4, 0, 22
49.0, Производственный  центр №5, 0, 0
50.0, Производственный  центр №1, 2, 454
50.0, Производственный  центр №2, 1, 8
50.0, Производственный  центр №3, 0, 13
50.0, Производственный  центр №4, 0, 22
50.0, Производственный  центр №5, 0, 0
51.0, Производственный  центр №1, 2, 452
51.0, Производственный  центр №2, 1, 9
51.0, Производственный  центр №3, 0, 13
51.0, Производственный  центр №4, 0, 23
51.0, Производственный  центр №5, 0, 0
52.0, Производственный  центр №1, 2, 452
52.0, Производственный  центр №2, 1, 8
52.0, Производственный  центр №3, 0, 14
52.0, Производственный  центр №4, 0, 23
52.0, Производственный  центр №5, 0, 0
53.0, Производственный  центр №1, 2, 450
53.0, Производственный  центр №2, 1, 9
53.0, Производственный  центр №3, 0, 14
53.0, Производственный  центр №4, 0, 24
53.0, Производственный  центр №5, 0, 0
54.0, Производственный  центр №1, 2, 450
54.0, Производственный  центр №2, 1, 9
54.0, Производственный  центр №3, 0, 14
54.0, Производственный  центр №4, 0, 24
54.0, Производственный  центр №5, 0, 0
