Time, ProductionCenter, WorkersCount, BufferCount
351.0, Производственный  центр №2, 1, 59
351.0, Производственный  центр №3, 0, 99
351.0, Производственный  центр №4, 0, 159
351.0, Производственный  центр №5, 0, 0
352.0, Производственный  центр №1, 2, 178
352.0, Производственный  центр №2, 1, 60
352.0, Производственный  центр №3, 0, 99
352.0, Производственный  центр №4, 0, 160
352.0, Производственный  центр №5, 0, 0
353.0, Производственный  центр №1, 2, 178
353.0, Производственный  центр №2, 1, 59
353.0, Производственный  центр №3, 0, 100
353.0, Производственный  центр №4, 0, 160
353.0, Производственный  центр №5, 0, 0
354.0, Производственный  центр №1, 2, 178
354.0, Производственный  центр №2, 1, 59
354.0, Производственный  центр №3, 0, 100
354.0, Производственный  центр №4, 0, 160
354.0, Производственный  центр №5, 0, 0
355.0, Производственный  центр №1, 2, 176
355.0, Производственный  центр №2, 1, 60
355.0, Производственный  центр №3, 0, 100
355.0, Производственный  центр №4, 0, 161
355.0, Производственный  центр №5, 0, 0
356.0, Производственный  центр №1, 2, 176
356.0, Производственный  центр №2, 1, 59
356.0, Производственный  центр №3, 0, 101
356.0, Производственный  центр №4, 0, 161
356.0, Производственный  центр №5, 0, 0
357.0, Производственный  центр №1, 2, 174
357.0, Производственный  центр №2, 1, 60
357.0, Производственный  центр №3, 0, 101
357.0, Производственный  центр №4, 0, 162
357.0, Производственный  центр №5, 0, 0
358.0, Производственный  центр №1, 2, 174
358.0, Производственный  центр №2, 1, 60
358.0, Производственный  центр №3, 0, 101
358.0, Производственный  центр №4, 0, 162
358.0, Производственный  центр №5, 0, 0
359.0, Производственный  центр №1, 2, 172
359.0, Производственный  центр №2, 1, 61
359.0, Производственный  центр №3, 0, 101
359.0, Производственный  центр №4, 0, 163
359.0, Производственный  центр №5, 0, 0
360.0, Производственный  центр №1, 2, 172
360.0, Производственный  центр №2, 1, 60
360.0, Производственный  центр №3, 0, 102
360.0, Производственный  центр №4, 0, 163
360.0, Производственный  центр №5, 0, 0
361.0, Производственный  центр №1, 2, 170
361.0, Производственный  центр №2, 1, 61
361.0, Производственный  центр №3, 0, 102
361.0, Производственный  центр №4, 0, 164
361.0, Производственный  центр №5, 0, 0
362.0, Производственный  центр №1, 2, 170
362.0, Производственный  центр №2, 1, 61
362.0, Производственный  центр №3, 0, 102
362.0, Производственный  центр №4, 0, 164
362.0, Производственный  центр №5, 0, 0
363.0, Производственный  центр №1, 2, 168
363.0, Производственный  центр №2, 1, 61
363.0, Производственный  центр №3, 0, 103
363.0, Производственный  центр №4, 0, 165
363.0, Производственный  центр №5, 0, 0
364.0, Производственный  центр №1, 2, 168
364.0, Производственный  центр №2, 1, 61
364.0, Производственный  центр №3, 0, 103
364.0, Производственный  центр №4, 0, 165
364.0, Производственный  центр №5, 0, 0
365.0, Производственный  центр №1, 2, 168
365.0, Производственный  центр №2, 1, 61
365.0, Производственный  центр №3, 0, 103
365.0, Производственный  центр №4, 0, 165
365.0, Производственный  центр №5, 0, 0
366.0, Производственный  центр №1, 2, 166
366.0, Производственный  центр №2, 1, 62
366.0, Производственный  центр №3, 0, 103
366.0, Производственный  центр №4, 0, 166
366.0, Производственный  центр №5, 0, 0
367.0, Производственный  центр №1, 2, 166
367.0, Производственный  центр №2, 1, 61
367.0, Производственный  центр №3, 0, 104
367.0, Производственный  центр №4, 0, 166
367.0, Производственный  центр №5, 0, 0
368.0, Производственный  центр №1, 1, 165
368.0, Производственный  центр №2, 1, 62
368.0, Производственный  центр №3, 0, 104
368.0, Производственный  центр №4, 1, 166
368.0, Производственный  центр №5, 0, 0
369.0, Производственный  центр №1, 1, 165
369.0, Производственный  центр №2, 1, 62
369.0, Производственный  центр №3, 0, 104
369.0, Производственный  центр №4, 1, 165
369.0, Производственный  центр №5, 0, 1
370.0, Производственный  центр №1, 1, 164
370.0, Производственный  центр №2, 1, 62
370.0, Производственный  центр №3, 0, 105
370.0, Производственный  центр №4, 1, 165
370.0, Производственный  центр №5, 0, 1
371.0, Производственный  центр №1, 1, 164
371.0, Производственный  центр №2, 1, 62
371.0, Производственный  центр №3, 0, 105
371.0, Производственный  центр №4, 1, 164
371.0, Производственный  центр №5, 0, 2
372.0, Производственный  центр №1, 1, 163
372.0, Производственный  центр №2, 1, 62
372.0, Производственный  центр №3, 0, 105
372.0, Производственный  центр №4, 1, 164
372.0, Производственный  центр №5, 0, 3
373.0, Производственный  центр №1, 1, 163
373.0, Производственный  центр №2, 1, 62
373.0, Производственный  центр №3, 0, 105
373.0, Производственный  центр №4, 1, 164
373.0, Производственный  центр №5, 0, 3
374.0, Производственный  центр №1, 1, 162
374.0, Производственный  центр №2, 1, 62
374.0, Производственный  центр №3, 0, 106
374.0, Производственный  центр №4, 1, 163
374.0, Производственный  центр №5, 0, 4
375.0, Производственный  центр №1, 1, 162
375.0, Производственный  центр №2, 1, 62
375.0, Производственный  центр №3, 0, 106
375.0, Производственный  центр №4, 1, 162
375.0, Производственный  центр №5, 0, 5
376.0, Производственный  центр №1, 1, 162
376.0, Производственный  центр №2, 1, 62
376.0, Производственный  центр №3, 0, 106
376.0, Производственный  центр №4, 1, 162
376.0, Производственный  центр №5, 0, 5
377.0, Производственный  центр №1, 1, 161
377.0, Производственный  центр №2, 1, 61
377.0, Производственный  центр №3, 0, 107
377.0, Производственный  центр №4, 1, 162
377.0, Производственный  центр №5, 0, 6
378.0, Производственный  центр №1, 1, 161
378.0, Производственный  центр №2, 1, 61
378.0, Производственный  центр №3, 0, 107
378.0, Производственный  центр №4, 1, 161
378.0, Производственный  центр №5, 0, 7
379.0, Производственный  центр №1, 1, 160
379.0, Производственный  центр №2, 1, 62
379.0, Производственный  центр №3, 0, 107
379.0, Производственный  центр №4, 1, 161
379.0, Производственный  центр №5, 0, 7
380.0, Производственный  центр №1, 1, 160
380.0, Производственный  центр №2, 1, 62
380.0, Производственный  центр №3, 0, 107
380.0, Производственный  центр №4, 1, 160
380.0, Производственный  центр №5, 0, 8
381.0, Производственный  центр №1, 1, 159
381.0, Производственный  центр №2, 1, 61
381.0, Производственный  центр №3, 0, 108
381.0, Производственный  центр №4, 1, 160
381.0, Производственный  центр №5, 0, 9
382.0, Производственный  центр №1, 1, 159
382.0, Производственный  центр №2, 1, 61
382.0, Производственный  центр №3, 0, 108
382.0, Производственный  центр №4, 1, 160
382.0, Производственный  центр №5, 0, 9
383.0, Производственный  центр №1, 1, 158
383.0, Производственный  центр №2, 1, 62
383.0, Производственный  центр №3, 0, 108
383.0, Производственный  центр №4, 1, 159
383.0, Производственный  центр №5, 0, 10
384.0, Производственный  центр №1, 1, 158
384.0, Производственный  центр №2, 1, 61
384.0, Производственный  центр №3, 0, 109
384.0, Производственный  центр №4, 1, 158
384.0, Производственный  центр №5, 0, 11
385.0, Производственный  центр №1, 1, 157
385.0, Производственный  центр №2, 1, 61
385.0, Производственный  центр №3, 0, 109
385.0, Производственный  центр №4, 1, 159
385.0, Производственный  центр №5, 0, 11
386.0, Производственный  центр №1, 1, 157
386.0, Производственный  центр №2, 1, 61
386.0, Производственный  центр №3, 0, 109
386.0, Производственный  центр №4, 1, 158
386.0, Производственный  центр №5, 0, 12
387.0, Производственный  центр №1, 1, 157
387.0, Производственный  центр №2, 1, 61
387.0, Производственный  центр №3, 0, 109
387.0, Производственный  центр №4, 1, 157
387.0, Производственный  центр №5, 0, 13
388.0, Производственный  центр №1, 1, 156
388.0, Производственный  центр №2, 1, 61
388.0, Производственный  центр №3, 0, 110
388.0, Производственный  центр №4, 1, 157
388.0, Производственный  центр №5, 0, 13
389.0, Производственный  центр №1, 1, 156
389.0, Производственный  центр №2, 1, 61
389.0, Производственный  центр №3, 0, 110
389.0, Производственный  центр №4, 1, 156
389.0, Производственный  центр №5, 0, 14
390.0, Производственный  центр №1, 1, 155
390.0, Производственный  центр №2, 1, 61
390.0, Производственный  центр №3, 0, 110
390.0, Производственный  центр №4, 1, 156
390.0, Производственный  центр №5, 0, 15
391.0, Производственный  центр №1, 1, 155
391.0, Производственный  центр №2, 1, 60
391.0, Производственный  центр №3, 0, 111
391.0, Производственный  центр №4, 1, 156
391.0, Производственный  центр №5, 0, 15
392.0, Производственный  центр №1, 1, 154
392.0, Производственный  центр №2, 1, 61
392.0, Производственный  центр №3, 0, 111
392.0, Производственный  центр №4, 1, 155
392.0, Производственный  центр №5, 0, 16
393.0, Производственный  центр №1, 1, 154
393.0, Производственный  центр №2, 1, 61
393.0, Производственный  центр №3, 0, 111
393.0, Производственный  центр №4, 1, 154
393.0, Производственный  центр №5, 0, 17
394.0, Производственный  центр №1, 1, 153
394.0, Производственный  центр №2, 1, 61
394.0, Производственный  центр №3, 0, 111
394.0, Производственный  центр №4, 1, 155
394.0, Производственный  центр №5, 0, 17
395.0, Производственный  центр №1, 1, 153
395.0, Производственный  центр №2, 1, 60
395.0, Производственный  центр №3, 0, 112
395.0, Производственный  центр №4, 1, 154
395.0, Производственный  центр №5, 0, 18
396.0, Производственный  центр №1, 1, 152
396.0, Производственный  центр №2, 1, 61
396.0, Производственный  центр №3, 0, 112
396.0, Производственный  центр №4, 1, 153
396.0, Производственный  центр №5, 0, 19
397.0, Производственный  центр №1, 1, 152
397.0, Производственный  центр №2, 1, 61
397.0, Производственный  центр №3, 0, 112
397.0, Производственный  центр №4, 1, 153
397.0, Производственный  центр №5, 0, 19
398.0, Производственный  центр №1, 1, 152
398.0, Производственный  центр №2, 1, 60
398.0, Производственный  центр №3, 0, 113
398.0, Производственный  центр №4, 1, 152
398.0, Производственный  центр №5, 0, 20
399.0, Производственный  центр №1, 1, 151
399.0, Производственный  центр №2, 1, 60
399.0, Производственный  центр №3, 0, 113
399.0, Производственный  центр №4, 1, 152
399.0, Производственный  центр №5, 0, 21
400.0, Производственный  центр №1, 1, 151
400.0, Производственный  центр №2, 1, 60
400.0, Производственный  центр №3, 0, 113
400.0, Производственный  центр №4, 1, 152
400.0, Производственный  центр №5, 0, 21
401.0, Производственный  центр №1, 1, 150
401.0, Производственный  центр №2, 1, 61
401.0, Производственный  центр №3, 0, 113
401.0, Производственный  центр №4, 1, 151
401.0, Производственный  центр №5, 0, 22
402.0, Производственный  центр №1, 1, 150
402.0, Производственный  центр №2, 1, 60
402.0, Производственный  центр №3, 0, 114
402.0, Производственный  центр №4, 1, 150
402.0, Производственный  центр №5, 0, 23
403.0, Производственный  центр №1, 1, 149
403.0, Производственный  центр №2, 1, 60
403.0, Производственный  центр №3, 0, 114
403.0, Производственный  центр №4, 1, 151
403.0, Производственный  центр №5, 0, 23
404.0, Производственный  центр №1, 1, 149
404.0, Производственный  центр №2, 1, 60
404.0, Производственный  центр №3, 0, 114
404.0, Производственный  центр №4, 1, 150
404.0, Производственный  центр №5, 0, 24
405.0, Производственный  центр №1, 1, 148
405.0, Производственный  центр №2, 1, 60
405.0, Производственный  центр №3, 0, 115
405.0, Производственный  центр №4, 1, 149
405.0, Производственный  центр №5, 0, 25
406.0, Производственный  центр №1, 1, 148
406.0, Производственный  центр №2, 1, 60
406.0, Производственный  центр №3, 0, 115
406.0, Производственный  центр №4, 1, 149
406.0, Производственный  центр №5, 0, 25
407.0, Производственный  центр №1, 1, 147
407.0, Производственный  центр №2, 1, 60
407.0, Производственный  центр №3, 0, 115
407.0, Производственный  центр №4, 1, 149
407.0, Производственный  центр №5, 0, 26
408.0, Производственный  центр №1, 1, 147
408.0, Производственный  центр №2, 1, 60
408.0, Производственный  центр №3, 0, 115
408.0, Производственный  центр №4, 1, 148
408.0, Производственный  центр №5, 0, 27
409.0, Производственный  центр №1, 1, 147
409.0, Производственный  центр №2, 1, 59
409.0, Производственный  центр №3, 0, 116
409.0, Производственный  центр №4, 1, 148
409.0, Производственный  центр №5, 0, 27
410.0, Производственный  центр №1, 1, 146
410.0, Производственный  центр №2, 1, 60
410.0, Производственный  центр №3, 0, 116
410.0, Производственный  центр №4, 1, 147
410.0, Производственный  центр №5, 0, 28
411.0, Производственный  центр №1, 1, 146
411.0, Производственный  центр №2, 1, 60
411.0, Производственный  центр №3, 0, 116
411.0, Производственный  центр №4, 1, 146
411.0, Производственный  центр №5, 0, 29
412.0, Производственный  центр №1, 1, 145
412.0, Производственный  центр №2, 1, 59
412.0, Производственный  центр №3, 0, 117
412.0, Производственный  центр №4, 1, 147
412.0, Производственный  центр №5, 0, 29
413.0, Производственный  центр №1, 1, 145
413.0, Производственный  центр №2, 1, 59
413.0, Производственный  центр №3, 0, 117
413.0, Производственный  центр №4, 1, 146
413.0, Производственный  центр №5, 0, 30
414.0, Производственный  центр №1, 1, 144
414.0, Производственный  центр №2, 1, 60
414.0, Производственный  центр №3, 0, 117
414.0, Производственный  центр №4, 1, 145
414.0, Производственный  центр №5, 0, 31
415.0, Производственный  центр №1, 1, 144
415.0, Производственный  центр №2, 1, 60
415.0, Производственный  центр №3, 0, 117
415.0, Производственный  центр №4, 1, 145
415.0, Производственный  центр №5, 0, 31
416.0, Производственный  центр №1, 1, 143
416.0, Производственный  центр №2, 1, 59
416.0, Производственный  центр №3, 0, 118
416.0, Производственный  центр №4, 1, 145
416.0, Производственный  центр №5, 0, 32
417.0, Производственный  центр №1, 1, 143
417.0, Производственный  центр №2, 1, 59
417.0, Производственный  центр №3, 0, 118
417.0, Производственный  центр №4, 1, 144
417.0, Производственный  центр №5, 0, 33
418.0, Производственный  центр №1, 1, 142
418.0, Производственный  центр №2, 1, 60
418.0, Производственный  центр №3, 0, 118
418.0, Производственный  центр №4, 1, 144
418.0, Производственный  центр №5, 0, 33
419.0, Производственный  центр №1, 1, 142
419.0, Производственный  центр №2, 1, 59
419.0, Производственный  центр №3, 0, 119
419.0, Производственный  центр №4, 1, 143
419.0, Производственный  центр №5, 0, 34
420.0, Производственный  центр №1, 1, 142
420.0, Производственный  центр №2, 1, 59
420.0, Производственный  центр №3, 0, 119
420.0, Производственный  центр №4, 1, 142
420.0, Производственный  центр №5, 0, 35
421.0, Производственный  центр №1, 1, 141
421.0, Производственный  центр №2, 1, 59
421.0, Производственный  центр №3, 0, 119
421.0, Производственный  центр №4, 1, 143
421.0, Производственный  центр №5, 0, 35
422.0, Производственный  центр №1, 1, 141
422.0, Производственный  центр №2, 1, 59
422.0, Производственный  центр №3, 0, 119
422.0, Производственный  центр №4, 1, 142
422.0, Производственный  центр №5, 0, 36
423.0, Производственный  центр №1, 1, 140
423.0, Производственный  центр №2, 1, 59
423.0, Производственный  центр №3, 0, 120
423.0, Производственный  центр №4, 1, 141
423.0, Производственный  центр №5, 0, 37
424.0, Производственный  центр №1, 1, 140
424.0, Производственный  центр №2, 1, 59
424.0, Производственный  центр №3, 0, 120
424.0, Производственный  центр №4, 1, 141
424.0, Производственный  центр №5, 0, 37
425.0, Производственный  центр №1, 1, 139
425.0, Производственный  центр №2, 1, 59
425.0, Производственный  центр №3, 0, 120
425.0, Производственный  центр №4, 1, 141
425.0, Производственный  центр №5, 0, 38
426.0, Производственный  центр №1, 1, 139
426.0, Производственный  центр №2, 1, 58
426.0, Производственный  центр №3, 0, 121
426.0, Производственный  центр №4, 1, 140
426.0, Производственный  центр №5, 0, 39
427.0, Производственный  центр №1, 1, 138
427.0, Производственный  центр №2, 1, 59
427.0, Производственный  центр №3, 0, 121
427.0, Производственный  центр №4, 1, 140
427.0, Производственный  центр №5, 0, 39
428.0, Производственный  центр №1, 1, 138
428.0, Производственный  центр №2, 1, 59
428.0, Производственный  центр №3, 0, 121
428.0, Производственный  центр №4, 1, 139
428.0, Производственный  центр №5, 0, 40
429.0, Производственный  центр №1, 1, 137
429.0, Производственный  центр №2, 1, 59
429.0, Производственный  центр №3, 0, 121
429.0, Производственный  центр №4, 1, 139
429.0, Производственный  центр №5, 0, 41
430.0, Производственный  центр №1, 1, 137
430.0, Производственный  центр №2, 1, 58
430.0, Производственный  центр №3, 0, 122
430.0, Производственный  центр №4, 1, 139
430.0, Производственный  центр №5, 0, 41
431.0, Производственный  центр №1, 1, 137
431.0, Производственный  центр №2, 1, 58
431.0, Производственный  центр №3, 0, 122
431.0, Производственный  центр №4, 1, 138
431.0, Производственный  центр №5, 0, 42
432.0, Производственный  центр №1, 1, 136
432.0, Производственный  центр №2, 1, 59
432.0, Производственный  центр №3, 0, 122
432.0, Производственный  центр №4, 1, 137
432.0, Производственный  центр №5, 0, 43
433.0, Производственный  центр №1, 1, 136
433.0, Производственный  центр №2, 1, 58
433.0, Производственный  центр №3, 0, 123
433.0, Производственный  центр №4, 1, 137
433.0, Производственный  центр №5, 0, 43
434.0, Производственный  центр №1, 1, 135
434.0, Производственный  центр №2, 1, 58
434.0, Производственный  центр №3, 0, 123
434.0, Производственный  центр №4, 1, 137
434.0, Производственный  центр №5, 0, 44
435.0, Производственный  центр №1, 1, 135
435.0, Производственный  центр №2, 1, 58
435.0, Производственный  центр №3, 0, 123
435.0, Производственный  центр №4, 1, 136
435.0, Производственный  центр №5, 0, 45
436.0, Производственный  центр №1, 1, 134
436.0, Производственный  центр №2, 1, 59
436.0, Производственный  центр №3, 0, 123
436.0, Производственный  центр №4, 1, 136
436.0, Производственный  центр №5, 0, 45
437.0, Производственный  центр №1, 1, 134
437.0, Производственный  центр №2, 1, 58
437.0, Производственный  центр №3, 0, 124
437.0, Производственный  центр №4, 1, 135
437.0, Производственный  центр №5, 0, 46
438.0, Производственный  центр №1, 1, 133
438.0, Производственный  центр №2, 1, 58
438.0, Производственный  центр №3, 0, 124
438.0, Производственный  центр №4, 1, 135
438.0, Производственный  центр №5, 0, 47
439.0, Производственный  центр №1, 1, 133
439.0, Производственный  центр №2, 1, 58
439.0, Производственный  центр №3, 0, 124
439.0, Производственный  центр №4, 1, 135
439.0, Производственный  центр №5, 0, 47
440.0, Производственный  центр №1, 1, 132
440.0, Производственный  центр №2, 1, 58
440.0, Производственный  центр №3, 0, 125
440.0, Производственный  центр №4, 1, 134
440.0, Производственный  центр №5, 0, 48
441.0, Производственный  центр №1, 1, 132
441.0, Производственный  центр №2, 1, 58
441.0, Производственный  центр №3, 0, 125
441.0, Производственный  центр №4, 1, 133
441.0, Производственный  центр №5, 0, 49
442.0, Производственный  центр №1, 1, 132
442.0, Производственный  центр №2, 1, 58
442.0, Производственный  центр №3, 0, 125
442.0, Производственный  центр №4, 1, 133
442.0, Производственный  центр №5, 0, 49
443.0, Производственный  центр №1, 1, 131
443.0, Производственный  центр №2, 1, 58
443.0, Производственный  центр №3, 0, 125
443.0, Производственный  центр №4, 1, 133
443.0, Производственный  центр №5, 0, 50
444.0, Производственный  центр №1, 1, 131
444.0, Производственный  центр №2, 1, 57
444.0, Производственный  центр №3, 0, 126
444.0, Производственный  центр №4, 1, 132
444.0, Производственный  центр №5, 0, 51
445.0, Производственный  центр №1, 1, 130
445.0, Производственный  центр №2, 1, 58
445.0, Производственный  центр №3, 0, 126
445.0, Производственный  центр №4, 1, 132
445.0, Производственный  центр №5, 0, 51
446.0, Производственный  центр №1, 1, 130
446.0, Производственный  центр №2, 1, 58
446.0, Производственный  центр №3, 0, 126
446.0, Производственный  центр №4, 1, 131
446.0, Производственный  центр №5, 0, 52
447.0, Производственный  центр №1, 1, 129
447.0, Производственный  центр №2, 1, 57
447.0, Производственный  центр №3, 0, 127
447.0, Производственный  центр №4, 1, 131
447.0, Производственный  центр №5, 0, 53
448.0, Производственный  центр №1, 1, 129
448.0, Производственный  центр №2, 1, 57
448.0, Производственный  центр №3, 0, 127
448.0, Производственный  центр №4, 1, 131
448.0, Производственный  центр №5, 0, 53
449.0, Производственный  центр №1, 1, 128
449.0, Производственный  центр №2, 1, 58
449.0, Производственный  центр №3, 0, 127
449.0, Производственный  центр №4, 1, 130
449.0, Производственный  центр №5, 0, 54
450.0, Производственный  центр №1, 1, 128
450.0, Производственный  центр №2, 1, 58
450.0, Производственный  центр №3, 0, 127
450.0, Производственный  центр №4, 1, 129
450.0, Производственный  центр №5, 0, 55
451.0, Производственный  центр №1, 1, 127
451.0, Производственный  центр №2, 1, 57
451.0, Производственный  центр №3, 0, 128
451.0, Производственный  центр №4, 1, 130
451.0, Производственный  центр №5, 0, 55
452.0, Производственный  центр №1, 1, 127
452.0, Производственный  центр №2, 1, 57
452.0, Производственный  центр №3, 0, 128
452.0, Производственный  центр №4, 1, 129
452.0, Производственный  центр №5, 0, 56
453.0, Производственный  центр №1, 1, 127
453.0, Производственный  центр №2, 1, 57
453.0, Производственный  центр №3, 0, 128
453.0, Производственный  центр №4, 1, 128
453.0, Производственный  центр №5, 0, 57
454.0, Производственный  центр №1, 1, 126
454.0, Производственный  центр №2, 1, 57
454.0, Производственный  центр №3, 0, 129
454.0, Производственный  центр №4, 1, 128
454.0, Производственный  центр №5, 0, 57
455.0, Производственный  центр №1, 1, 126
455.0, Производственный  центр №2, 1, 57
455.0, Производственный  центр №3, 0, 129
455.0, Производственный  центр №4, 1, 127
455.0, Производственный  центр №5, 0, 58
456.0, Производственный  центр №1, 1, 125
456.0, Производственный  центр №2, 1, 57
456.0, Производственный  центр №3, 0, 129
456.0, Производственный  центр №4, 1, 127
456.0, Производственный  центр №5, 0, 59
457.0, Производственный  центр №1, 1, 125
457.0, Производственный  центр №2, 1, 57
457.0, Производственный  центр №3, 0, 129
457.0, Производственный  центр №4, 1, 127
457.0, Производственный  центр №5, 0, 59
458.0, Производственный  центр №1, 1, 124
458.0, Производственный  центр №2, 1, 57
458.0, Производственный  центр №3, 0, 130
458.0, Производственный  центр №4, 1, 126
458.0, Производственный  центр №5, 0, 60
459.0, Производственный  центр №1, 1, 124
459.0, Производственный  центр №2, 1, 57
459.0, Производственный  центр №3, 0, 130
459.0, Производственный  центр №4, 1, 125
459.0, Производственный  центр №5, 0, 61
460.0, Производственный  центр №1, 1, 123
460.0, Производственный  центр №2, 1, 57
460.0, Производственный  центр №3, 0, 130
460.0, Производственный  центр №4, 1, 126
460.0, Производственный  центр №5, 0, 61
461.0, Производственный  центр №1, 1, 123
461.0, Производственный  центр №2, 1, 56
461.0, Производственный  центр №3, 0, 131
461.0, Производственный  центр №4, 1, 125
461.0, Производственный  центр №5, 0, 62
462.0, Производственный  центр №1, 1, 122
462.0, Производственный  центр №2, 1, 57
462.0, Производственный  центр №3, 0, 131
462.0, Производственный  центр №4, 1, 124
462.0, Производственный  центр №5, 0, 63
463.0, Производственный  центр №1, 1, 122
463.0, Производственный  центр №2, 1, 57
463.0, Производственный  центр №3, 0, 131
463.0, Производственный  центр №4, 1, 124
463.0, Производственный  центр №5, 0, 63
464.0, Производственный  центр №1, 1, 122
464.0, Производственный  центр №2, 1, 57
464.0, Производственный  центр №3, 0, 131
464.0, Производственный  центр №4, 1, 123
464.0, Производственный  центр №5, 0, 64
465.0, Производственный  центр №1, 1, 121
465.0, Производственный  центр №2, 1, 56
465.0, Производственный  центр №3, 0, 132
465.0, Производственный  центр №4, 1, 123
465.0, Производственный  центр №5, 0, 65
466.0, Производственный  центр №1, 1, 121
466.0, Производственный  центр №2, 1, 56
466.0, Производственный  центр №3, 0, 132
466.0, Производственный  центр №4, 1, 123
466.0, Производственный  центр №5, 0, 65
467.0, Производственный  центр №1, 1, 120
467.0, Производственный  центр №2, 1, 57
467.0, Производственный  центр №3, 0, 132
467.0, Производственный  центр №4, 1, 122
467.0, Производственный  центр №5, 0, 66
468.0, Производственный  центр №1, 1, 120
468.0, Производственный  центр №2, 1, 56
468.0, Производственный  центр №3, 0, 133
468.0, Производственный  центр №4, 1, 121
468.0, Производственный  центр №5, 0, 67
469.0, Производственный  центр №1, 1, 119
469.0, Производственный  центр №2, 1, 56
469.0, Производственный  центр №3, 0, 133
469.0, Производственный  центр №4, 1, 122
469.0, Производственный  центр №5, 0, 67
470.0, Производственный  центр №1, 1, 119
470.0, Производственный  центр №2, 1, 56
470.0, Производственный  центр №3, 0, 133
470.0, Производственный  центр №4, 1, 121
470.0, Производственный  центр №5, 0, 68
471.0, Производственный  центр №1, 1, 118
471.0, Производственный  центр №2, 1, 57
471.0, Производственный  центр №3, 0, 133
471.0, Производственный  центр №4, 1, 120
471.0, Производственный  центр №5, 0, 69
472.0, Производственный  центр №1, 1, 118
472.0, Производственный  центр №2, 1, 56
472.0, Производственный  центр №3, 0, 134
472.0, Производственный  центр №4, 1, 120
472.0, Производственный  центр №5, 0, 69
473.0, Производственный  центр №1, 1, 117
473.0, Производственный  центр №2, 1, 56
473.0, Производственный  центр №3, 0, 134
473.0, Производственный  центр №4, 1, 120
473.0, Производственный  центр №5, 0, 70
474.0, Производственный  центр №1, 1, 117
474.0, Производственный  центр №2, 1, 56
474.0, Производственный  центр №3, 0, 134
474.0, Производственный  центр №4, 1, 119
474.0, Производственный  центр №5, 0, 71
475.0, Производственный  центр №1, 1, 117
475.0, Производственный  центр №2, 1, 55
475.0, Производственный  центр №3, 0, 135
475.0, Производственный  центр №4, 1, 119
475.0, Производственный  центр №5, 0, 71
476.0, Производственный  центр №1, 1, 116
476.0, Производственный  центр №2, 1, 56
476.0, Производственный  центр №3, 0, 135
476.0, Производственный  центр №4, 1, 118
476.0, Производственный  центр №5, 0, 72
477.0, Производственный  центр №1, 1, 116
477.0, Производственный  центр №2, 1, 56
477.0, Производственный  центр №3, 0, 135
477.0, Производственный  центр №4, 1, 117
477.0, Производственный  центр №5, 0, 73
478.0, Производственный  центр №1, 1, 115
478.0, Производственный  центр №2, 1, 56
478.0, Производственный  центр №3, 0, 135
478.0, Производственный  центр №4, 1, 118
478.0, Производственный  центр №5, 0, 73
479.0, Производственный  центр №1, 1, 115
479.0, Производственный  центр №2, 1, 55
479.0, Производственный  центр №3, 0, 136
479.0, Производственный  центр №4, 1, 117
479.0, Производственный  центр №5, 0, 74
480.0, Производственный  центр №1, 1, 114
480.0, Производственный  центр №2, 1, 56
480.0, Производственный  центр №3, 0, 136
480.0, Производственный  центр №4, 1, 116
480.0, Производственный  центр №5, 0, 75
481.0, Производственный  центр №1, 1, 114
481.0, Производственный  центр №2, 1, 56
481.0, Производственный  центр №3, 0, 136
481.0, Производственный  центр №4, 1, 116
481.0, Производственный  центр №5, 0, 75
482.0, Производственный  центр №1, 1, 113
482.0, Производственный  центр №2, 1, 55
482.0, Производственный  центр №3, 0, 137
482.0, Производственный  центр №4, 1, 116
482.0, Производственный  центр №5, 0, 76
483.0, Производственный  центр №1, 1, 113
483.0, Производственный  центр №2, 1, 55
483.0, Производственный  центр №3, 0, 137
483.0, Производственный  центр №4, 1, 115
483.0, Производственный  центр №5, 0, 77
484.0, Производственный  центр №1, 1, 112
484.0, Производственный  центр №2, 1, 56
484.0, Производственный  центр №3, 0, 137
484.0, Производственный  центр №4, 1, 115
484.0, Производственный  центр №5, 0, 77
485.0, Производственный  центр №1, 1, 112
485.0, Производственный  центр №2, 1, 56
485.0, Производственный  центр №3, 0, 137
485.0, Производственный  центр №4, 1, 114
485.0, Производственный  центр №5, 0, 78
486.0, Производственный  центр №1, 1, 112
486.0, Производственный  центр №2, 1, 55
486.0, Производственный  центр №3, 0, 138
486.0, Производственный  центр №4, 1, 113
486.0, Производственный  центр №5, 0, 79
487.0, Производственный  центр №1, 1, 111
487.0, Производственный  центр №2, 1, 55
487.0, Производственный  центр №3, 0, 138
487.0, Производственный  центр №4, 1, 114
487.0, Производственный  центр №5, 0, 79
488.0, Производственный  центр №1, 1, 111
488.0, Производственный  центр №2, 1, 55
488.0, Производственный  центр №3, 0, 138
488.0, Производственный  центр №4, 1, 113
488.0, Производственный  центр №5, 0, 80
489.0, Производственный  центр №1, 1, 110
489.0, Производственный  центр №2, 1, 55
489.0, Производственный  центр №3, 0, 139
489.0, Производственный  центр №4, 1, 112
489.0, Производственный  центр №5, 0, 81
490.0, Производственный  центр №1, 1, 110
490.0, Производственный  центр №2, 1, 55
490.0, Производственный  центр №3, 0, 139
490.0, Производственный  центр №4, 1, 112
